locus,weight,chromosome
0,0.768863,0
1,0.47888,0
2,0,0
3,0.394593,0
4,0,0
5,0,0
6,0.676506,0
7,0,0
8,0,0
9,0.212281,0
10,0,0
11,0,1
12,0.706892,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0.79607,1
20,0,1
21,0.478886,1
22,0,1
23,0.643104,1
24,0.529899,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,2
36,0.516382,2
37,0,2
38,0,2
39,0.865724,2
40,0,2
41,0,2
42,0,2
43,0,2
44,0.749735,2
45,0,2
46,0,2
47,0.483982,2
48,0,2
49,0,2
50,0.740729,3
51,0,4
52,0,5
53,0.414228,6
54,0,7
55,0,8
56,0,9
57,0,10
58,0.184726,11
59,0.618537,12
